Words A1 (Elementary),Part of Speech,Basic Meaning,Status,,use this for call =MW_DEFINITION(cellnum)
a / an,determiner,—used to make a statement or description less forceful or definite,Familiar,,
angry,adjective,feeling or showing anger,Mastered,,
about,preposition,reasonably close to,Mastered,,
animal,noun,"any of a kingdom (Animalia) of living things including many-celled organisms and often many of the single-celled ones (such as protozoans) that typically differ from plants in having cells without cellulose walls, in lacking chlorophyll and the capacity for photosynthesis, in requiring more complex food materials (such as proteins), in being organized to a greater degree of complexity, and in having the capacity for spontaneous movement and rapid motor responses to stimulation",Mastered,,
above,preposition,in the sky : overhead,Mastered,,
another,determiner,different or distinct from the one first considered,Mastered,,
across,preposition,"from one side to the opposite side of : over, through",Mastered,,
to answer,verb,to be responsible for many bad things that have happened,Mastered,,
action,noun,a thing done : deed,Mastered,,
answer,noun,something spoken or written in reply to a question,Mastered,,
activity,noun,the quality or state of being active : behavior or actions of a particular kind,Mastered,,
any,determiner,one or some indiscriminately of whatever kind:,Mastered,,
actor,noun,one that acts : doer,Mastered,,
anyone,pronoun,any person at all,,,
actress,noun,a woman or girl who is an actor,,,
anything,pronoun,any thing whatever : any such thing,,,
to add,verb,to immediately say something in order to prevent confusion or misunderstanding,,,
apartment,noun,a room or set of rooms fitted especially with housekeeping facilities and usually leased as a dwelling,,,
address,noun,to deal with or give attention to,,,
apple,noun,"the fleshy, usually rounded red, yellow, or green edible pome fruit of a usually cultivated tree (genus Malus) of the rose family; also : an apple tree",,,
adult,noun,fully developed and mature : grown-up,,,
April,noun,the fourth month of the Gregorian calendar,,,
afraid,adjective,filled with fear or apprehension,,,
area,noun,the surface included within a set of lines; specifically : the number of unit squares equal in measure to the surface,,,
after,preposition,"following in time or place : afterward, behind, later",,,
arm,noun,a human upper limb; especially : the part between the shoulder and the wrist,,,
afternoon,noun,the part of day between noon and sunset,,,
around,preposition,in a circle or in circumference,,,
again,adverb,another time : once more : anew,,,
arrive,verb,"Word not found. Suggestions: thrive, arrive, to a crisp",Mastered,,
age,noun,"the time of life at which some particular qualification, power, or capacity arises or rests; specifically : majority",,,
art,noun,"skill acquired by experience, study, or observation",,,
ago,adverb,earlier than the present time,,,
article,noun,a distinct often numbered section of a writing,,,
air,noun,the mixture of invisible odorless tasteless gases (such as nitrogen and oxygen) that surrounds the earth; also : the equivalent mix of gases on another celestial object (such as a planet),,,
artist,noun,"a person who creates art (such as painting, sculpture, music, or writing) using conscious skill and creative imagination",,,
airport,noun,a place from which aircraft operate that usually has paved runways and maintenance facilities and often serves as a terminal,,,
as,preposition,to the same degree or amount,,,
all,determiner,"the whole amount, quantity, or extent of",,,
ask,verb,to call on for an answer,,,
all right,adjective / adverb,"satisfactory, agreeable",,,
at,preposition,"—used as a function word to indicate presence or occurrence in, on, or near",,,
also,adverb,likewise,,,
August,noun,marked by majestic dignity or grandeur,,,
always,adverb,at all times : invariably,,,
aunt,noun,the sister of one's father or mother,,,
amazing,adjective,"causing astonishment, great wonder, or surprise",,,
autumn,noun,"the season between summer and winter comprising in the northern hemisphere usually the months of September, October, and November or as reckoned astronomically extending from the September equinox to the December solstice —called also fall",,,
and,conjunction,—used as a function word to indicate connection or addition especially of items within the same class or type—used to join sentence elements of the same grammatical rank or function,,,
away,adverb,on the way : along,,,
baby,noun,an extremely young child; especially : infant —sometimes used of an adult daughter or son to express parental nostalgia or affection,,,
black,adjective,having the very dark color of the night sky or the eye's pupil : of the color black,,,
back,adverb,the rear part of the human body especially from the neck to the end of the spine,,,
blog,noun,"a website that contains online personal reflections, comments, and often hyperlinks, videos, and photographs provided by the writer; also : the contents of such a site",,,
bad,adjective,failing to reach an acceptable standard : poor,,,
blonde,adjective,"of a flaxen, golden, light auburn, or pale yellowish-brown color; also : having blond hair",,,
bag,noun,"a usually flexible container that may be closed for holding, storing, or carrying something: such as",,,
blue,adjective,of the color whose hue is that of the clear sky : of the color blue,,,
ball,noun,a round or roundish body or mass: such as,,,
boat,noun,a small vessel for travel on water,,,
banana,noun,an elongated usually tapering tropical fruit with soft pulpy flesh enclosed in a soft usually yellow rind,,,
body,noun,the main part of a plant or animal body especially as distinguished from limbs and head : trunk,,,
band,noun,a strip serving to join or hold things together: such as,,,
book,noun,a set of written sheets of skin or paper or tablets of wood or ivory,,,
bank,noun,"a mound, pile, or ridge raised above the surrounding level: such as",,,
boot,noun,deliverance,,,
bar,noun,"a straight piece (as of wood or metal) that is longer than it is wide and has any of various uses (as for a lever, support, barrier, or fastening)",,,
bored,adjective,filled with or characterized by boredom,,,
bath,noun,a washing or soaking (as in water or steam) of all or part of the body,,,
boring,adjective,causing weariness and restlessness through lack of interest : causing boredom : tiresome,,,
bathroom,noun,a room containing a bathtub or shower and usually a sink and toilet,,,
born,past participle,brought forth by or as if by birth,,,
